Player_id,Mean,Variance,Direction
Player1,2.0624833361811707,2.5621549130091994,"[-0.07859963133209269, -0.8726144214850257]"
Player2,1.9933763458405618,2.412405435782598,"[-0.01804159275341397, -0.8202670338282156]"
Player3,1.9888457098324213,2.404990886655708,"[0.008786632943309293, -0.7249947882928215]"
Player4,2.107837006515761,2.4333423334894344,"[0.1416799511081467, -0.7118583491166285]"
Player5,2.234963106914854,2.653001362753059,"[0.10907031122926085, -0.7102934377382565]"
Player6,2.2699456637133766,2.777888823051372,"[0.06574553582683307, -0.8046289405471603]"
Player7,2.1794750657336723,2.59475192307572,"[0.07252231257732125, -0.6979725157592429]"
Player8,2.28734676995445,3.2383266544610008,"[0.07191598167452994, -0.7636216501322152]"
Player9,2.139748961523476,3.178397268791662,"[0.09597994870223069, -0.7323013815594456]"
Player10,2.0720952981594305,3.5379671077604087,"[0.17692776216417516, -0.7075272915694439]"
Player11,0.7125799790678105,0.4318160029068322,"[0.26712967040389185, -0.5692861061448072]"
Player12,2.063628069999366,2.3779938422507936,"[0.06470670928526237, -0.7760417566352096]"
Player13,2.0514582671206947,2.218254425656124,"[0.03903796648871818, -0.7657155456384874]"
Player14,2.1909839715359474,2.6370253941667907,"[-0.019149244172748093, -0.7913602553389921]"
Player15,2.181858592395853,2.8472004501596824,"[-0.0059263195231337275, -0.7172143134116198]"
Player16,2.530432427974282,3.0599763731038605,"[-0.012750500747361298, -0.815858832762379]"
Player17,2.2641897776867284,3.1523691685468354,"[0.08336863461645565, -0.7337009853978489]"
Player18,2.2881363519995945,3.1268084053261136,"[0.1218919557857312, -0.7697710906190571]"
Player19,2.116910519233864,2.6821783149530987,"[0.1517783148089454, -0.7933108843106247]"
Player20,2.123022848868527,2.977390573126642,"[0.02872594752209345, -0.7864230701452549]"
Player21,2.2166600259153144,3.498661205401263,"[0.019775806443691812, -0.7789070873280034]"
Player22,1.0781664442652164,0.7863126531070141,"[0.3199275592558226, -0.6538354025875538]"
