area_x,area_y,x,y
6,6,56,76
7,0,39,99
3,4,50,38
9,7,49,37
8,9,54,78
4,6,54,76
3,9,43,99
2,0,50,37
8,0,55,75
4,9,45,99
4,8,25,48
9,6,93,52
4,1,62,73
0,6,57,99
9,7,59,53
7,9,74,27
1,7,72,46
7,7,61,74
2,6,76,72
7,8,57,78
5,7,55,57
8,6,98,46
