Period,Frame,Time [s],Team,Player,X,Y,Ball_x,Ball_y
1,3,0.12,Team A,10,1.9200955540341689,50.06281412105307,50.0,50.0
1,3,0.12,Team B,0,84.73960528921384,25.18599622199011,50.0,50.0
1,3,0.12,Team B,1,84.68,50.0,50.0,50.0
1,3,0.12,Team B,2,84.73960528921384,74.81400377800986,50.0,50.0
1,3,0.12,Team B,3,84.81146490961618,97.74143759033075,50.0,50.0
1,3,0.12,Team B,4,54.90586425513368,25.47067872433165,50.0,50.0
1,3,0.12,Team B,5,51.52000000000001,50.0,50.0,50.0
1,3,0.12,Team B,6,54.90586425513368,74.52932127566834,50.0,50.0
1,3,0.12,Team B,7,54.950269079555454,97.5225831637324,50.0,50.0
1,3,0.12,Team B,8,24.939571023279036,25.18179384858321,50.0,50.0
1,3,0.12,Team B,9,25.011451886689734,74.83168293498423,50.0,50.0
1,3,0.12,Team B,10,98.11084709515225,49.76422861025394,50.0,50.0
1,4,0.16,Team A,0,20.307288511838948,25.256073759865796,50.0,50.0
1,4,0.16,Team A,1,20.39999999999999,50.0,50.0,50.0
1,4,0.16,Team A,2,20.307288511838948,74.74392624013419,50.0,50.0
1,4,0.16,Team A,3,20.211999576001265,97.66080067839798,50.0,50.0
1,4,0.16,Team A,4,50.0,25.600000000000005,50.0,50.0
1,4,0.16,Team A,5,45.59999999999999,50.0,50.0,50.0
1,4,0.16,Team A,6,50.0,74.39999999999998,50.0,50.0
1,4,0.16,Team A,7,50.0,97.39999999999998,50.0,50.0
1,4,0.16,Team A,8,79.9807247476238,25.050697651814044,50.0,50.0
1,4,0.16,Team A,9,79.99344930241453,74.61946765698463,50.0,50.0
1,4,0.16,Team A,10,1.9412566637711755,50.13996467150282,50.0,50.0
1,4,0.16,Team B,0,84.6745066115173,25.232495277487637,50.0,50.0
1,4,0.16,Team B,1,84.60000000000001,50.0,50.0,50.0
1,4,0.16,Team B,2,84.6745066115173,74.76750472251233,50.0,50.0
1,4,0.16,Team B,3,84.76433113702022,97.67679698791343,50.0,50.0
1,4,0.16,Team B,4,54.8823303189171,25.58834840541456,50.0,50.0
1,4,0.16,Team B,5,51.40000000000001,50.0,50.0,50.0
1,4,0.16,Team B,6,54.8823303189171,74.41165159458542,50.0,50.0
1,4,0.16,Team B,7,54.93783634944432,97.40322895466551,50.0,50.0
1,4,0.16,Team B,8,24.95216893369359,25.26079570079686,50.0,50.0
1,4,0.16,Team B,9,25.000437961736253,74.75244472793031,50.0,50.0
1,4,0.16,Team B,10,98.0310758755392,49.770274478383946,50.0,50.0
1,5,0.2,Team A,0,20.368746214206737,25.307288511838955,50.0,50.0
1,5,0.2,Team A,1,20.47999999999999,50.0,50.0,50.0
1,5,0.2,Team A,2,20.368746214206737,74.69271148816102,50.0,50.0
1,5,0.2,Team A,3,20.254399491201518,97.59296081407757,50.0,50.0
1,5,0.2,Team A,4,50.0,25.720000000000006,50.0,50.0
1,5,0.2,Team A,5,45.719999999999985,50.0,50.0,50.0
1,5,0.2,Team A,6,50.0,74.27999999999997,50.0,50.0
1,5,0.2,Team A,7,50.0,97.27999999999997,50.0,50.0
1,5,0.2,Team A,8,79.92448615018199,24.99380107759574,50.0,50.0
1,5,0.2,Team A,9,79.99345809242598,74.53946765746753,50.0,50.0
1,5,0.2,Team A,10,1.861463793157973,50.13421160281691,50.0,50.0
1,5,0.2,Team B,0,84.60940793382076,25.278994332985164,50.0,50.0
1,5,0.2,Team B,1,84.52000000000001,50.0,50.0,50.0
1,5,0.2,Team B,2,84.60940793382076,74.7210056670148,50.0,50.0
1,5,0.2,Team B,3,84.71719736442427,97.61215638549612,50.0,50.0
1,5,0.2,Team B,4,54.85879638270052,25.706018086497473,50.0,50.0
1,5,0.2,Team B,5,51.280000000000015,50.0,50.0,50.0
1,5,0.2,Team B,6,54.85879638270052,74.2939819135025,50.0,50.0
1,5,0.2,Team B,7,54.92540361933318,97.28387474559861,50.0,50.0
1,5,0.2,Team B,8,24.881308671777205,25.297928210557735,50.0,50.0
1,5,0.2,Team B,9,25.006412991515017,74.6726681711035,50.0,50.0
1,5,0.2,Team B,10,98.02905487445025,49.850248946525966,50.0,50.0
1,6,0.24,Team A,0,20.430203916574527,25.358503263812114,50.0,50.0
1,6,0.24,Team A,1,20.559999999999988,50.0,50.0,50.0
1,6,0.24,Team A,2,20.430203916574527,74.64149673618786,50.0,50.0
1,6,0.24,Team A,3,20.29679940640177,97.52512094975717,50.0,50.0
1,6,0.24,Team A,4,50.0,25.840000000000007,50.0,50.0
1,6,0.24,Team A,5,45.83999999999998,50.0,50.0,50.0
1,6,0.24,Team A,6,50.0,74.15999999999997,50.0,50.0
1,6,0.24,Team A,7,50.0,97.15999999999997,50.0,50.0
1,6,0.24,Team A,8,79.85731225980436,25.037248384204243,50.0,50.0
1,6,0.24,Team A,9,80.04695723110211,74.598947420084,50.0,50.0
1,6,0.24,Team A,10,1.864996447349993,50.05428963866212,50.0,50.0
1,6,0.24,Team B,0,84.54430925612422,25.32549338848269,50.0,50.0
1,6,0.24,Team B,1,84.44000000000001,50.0,50.0,50.0
1,6,0.24,Team B,2,84.54430925612422,74.67450661151726,50.0,50.0
1,6,0.24,Team B,3,84.67006359182831,97.54751578307881,50.0,50.0
1,6,0.24,Team B,4,54.83526244648394,25.823687767580385,50.0,50.0
1,6,0.24,Team B,5,51.16000000000002,50.0,50.0,50.0
1,6,0.24,Team B,6,54.83526244648394,74.17631223241959,50.0,50.0
1,6,0.24,Team B,7,54.912970889222045,97.16452053653171,50.0,50.0
1,6,0.24,Team B,8,24.851061769019847,25.223866581669444,50.0,50.0
1,6,0.24,Team B,9,24.992128714929372,74.59395375411128,50.0,50.0
1,6,0.24,Team B,10,98.08067071259097,49.911370180586076,50.0,50.0
1,7,0.28,Team A,0,20.491661618942317,25.409718015785273,50.0,50.0
1,7,0.28,Team A,1,20.639999999999986,50.0,50.0,50.0
1,7,0.28,Team A,2,20.491661618942317,74.5902819842147,50.0,50.0
1,7,0.28,Team A,3,20.339199321602024,97.45728108543676,50.0,50.0
1,7,0.28,Team A,4,50.0,25.960000000000008,50.0,50.0
1,7,0.28,Team A,5,45.95999999999998,50.0,50.0,50.0
1,7,0.28,Team A,6,50.0,74.03999999999996,50.0,50.0
1,7,0.28,Team A,7,50.0,97.03999999999996,50.0,50.0
1,7,0.28,Team A,8,79.90110032510665,24.970296122576407,50.0,50.0
1,7,0.28,Team A,9,80.08522823697335,74.52869551541514,50.0,50.0
1,7,0.28,Team A,10,1.9449050875771343,50.05046743811148,50.0,50.0
1,7,0.28,Team B,0,84.47921057842768,25.37199244398022,50.0,50.0
1,7,0.28,Team B,1,84.36000000000001,50.0,50.0,50.0
1,7,0.28,Team B,2,84.47921057842768,74.62800755601972,50.0,50.0
1,7,0.28,Team B,3,84.62292981923235,97.4828751806615,50.0,50.0
1,7,0.28,Team B,4,54.81172851026736,25.941357448663297,50.0,50.0
1,7,0.28,Team B,5,51.04000000000002,50.0,50.0,50.0
1,7,0.28,Team B,6,54.81172851026736,74.05864255133667,50.0,50.0
1,7,0.28,Team B,7,54.90053815911091,97.04516632746481,50.0,50.0
1,7,0.28,Team B,8,24.834091775026188,25.30204598627101,50.0,50.0
1,7,0.28,Team B,9,24.951999075682338,74.66316077726574,50.0,50.0
1,7,0.28,Team B,10,98.05283153221032,49.83637031368131,50.0,50.0
1,8,0.32,Team A,0,20.553119321310106,25.460932767758433,50.0,50.0
1,8,0.32,Team A,1,20.719999999999985,50.0,50.0,50.0
